ID,TRACK,What session did you enjoy the most?,What motivated your choice?,What is the second session you enjoyed the most?,What motivated your choice?.1,Are you better prepared to lead an AI transformation?,What was the most valuable part of the program?,What should we improve?,On a scale from 0 to 10. How likely are you to recommend this program to a friend or colleague?,Anything else you want to share with us?
11,EXEC,"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance","The maturity framework, governance, and the considerations of deploying at scale were all very helpful.","Day 2, Session 2: Fireside chat with Amanda Crawford",Really enjoyed the real world discussion.,Yes,"Consideration for successfully rolling out AI at scale and, more importantly, the friction points.",Some of the sessions were really just consulting sessions focused no identifying problems and solutions.  Useful but some of those sessions weren't as focused on AI as I would have liked and expected.,8,Really great first attempt.  From a logistic standpoint I felt everything was very well done.
12,EXEC,"Day 1, Session 2: AI in Action: Industry & Functional use Cases",The use cases are critical to my work,"Day 3, Session1: Measuring AI Value: Beyond Traditional ROI & Ethical AI: Principles, Risks & Regulatory Compliance",Value is key to my business and my clients,Yes,"The details of AI strategy, value and ROI",Share the agenda and schedule with all of us beforehand or on Day 1. I didn’t see it until Day 3.,10 (Extremely Likely),Thank you for doing this!
13,EXEC,"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance",Better understanding AI from leadership perspective..,"Day 2, Session 1: Generative AI",Can put this to practial use.,Yes,"Better understanding of AI, usage, pitfalls, ROI",Have slides available before so can follow the sessions better.  And topics on fake vs reality.,10 (Extremely Likely),Can switch time from 9:30 and end to 3:30.   Significant traffic to get here by 9 am.
14,EXEC,"Day 2, Session 3: Transforming Vision into Action Part 1: Business Impact Framework",My goals to grow my non-profit and launch other business ideas.,"Day 1, Session 3: Data as the Fuel: AI Data Strategy & Governance","In order to launch new ideas to vision, I takes strategy.",Yes,The overwhelm if tools and perspectives to save me time as I grow more business.,It was great. Thank-you.,10 (Extremely Likely),"It was such an informative conference that will greatly impact me personally, professionally, and in business. I am grateful."
15,PROD,"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",Deep connection with presenters!,"Day 1, Session 2: Try This: AI Tools for Everyday Tasks & Productivity",Great suggestions!,Yes,Learning new tools!,More hands on if possible.,10 (Extremely likely),You guys are great!
16,PROD,"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",I thoroufhly enjoyed the panelists discussions on ethical ai use and the emphasis on our humanity.,"Day 2, Session 1: Lead with AI: Save Time with Workflows",,Yes,The ethical discussion surrounding it,Maybe a bigger room?,8,
17,PROD,"Day 1, Session 1: AI 101 Without the Tech Talk",Every conversation I had with everyone who had goals,"Day 2, Session 1: Lead with AI: Save Time with Workflows",Everything actually,Yes,All classes,Everything was amazing,10 (Extremely likely),
18,PROD,"Day 1, Session 4: AI for Creativity & Marketing",I plan on using ai for branding and marketing projects so the session on creativity was just what I needed,"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",It is important for me to be mindful of privacy and security concerns when it comes to ai usage,Yes,The roadmap offered by the presenters/slides and the network,"More interactive sessions where we apply what we’ve learnt (such as team projects, creating sample workflows ect) would cement all our learnings.",7,Thanks for hosting!
19,PROD,"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion","Engaging, informative, energizing, and motivating talk","Day 2, Session 1: Lead with AI: Save Time with Workflows",I learned a lot about how I can leverage AI in my life,Yes,"Learning the ins and outs of AI, having the opportunity to use it myself with something tangible (creating a project) with actionable goals, and connecting with others and learning from them",N/A all was great,10 (Extremely likely),Thank you so much!
20,PROD,"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",Concerns about privacy are my biggest obstacle,"Day 1, Session 2: Try This: AI Tools for Everyday Tasks & Productivity",,Yes,Hearing genuine advice from experts.,"The first session didn’t cover the basics - what does ai do with the data you feed it, ethics of ai use",10 (Extremely likely),
21,PROD,"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",Getting familuar with ai,"Day 1, Session 1: AI 101 Without the Tech Talk",Feel of ai landscape,Yes,Breadth and scope,,10 (Extremely likely),"Well paced, great content : both theory and practical"
22,PROD,"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",Talked about the importance of Agents,"Day 1, Session 4: AI for Creativity & Marketing",The speaker was so nice and effective,Yes,Evaluating self,Perhaps more projects we can do,7,Nothing this was an awesome prigram
23,PROD,"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",The positivity that was presented at the panel and the reassurance that humanity will still be an integral part of AI moving forward.,"Day 1, Session 4: AI for Creativity & Marketing","It was an engaging session, that allowed me to think outside of the box in a more creative fashion.",Yes,The networking and peer support opportunities,Nothing that I can think of,10 (Extremely likely),
24,PROD,"Day 1, Session 3: Apply It: AI in Action - Use Tools for Everyday Goals",The content of the presentation. Steve Mudd's work is amazing,"Day 2, Session 3: Tool Talk: Rate & Reflect",I loved the hands on exercise where we had to try several different LLMs. Not sure i would have taken the time to do that on my own.,Yes,Learning the different LLMs,"More hands on activities, more demos",9,Great job!
25,PROD,"Day 1, Session 1: AI 101 Without the Tech Talk",the stage was set very well in the opening session. I was inspire,"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",Got to Apply our knowledge in a practical application,Yes,the people presenting and learning,make it for a week!,10 (Extremely likely),please keep up the great work
26,PROD,"Day 1, Session 4: AI for Creativity & Marketing",Creative use of AI tools,"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",Highlighting the human in AI,Yes,Identifying and accessing tools,Use and access to a variety of tools earlier,10 (Extremely likely),Thank you to everyone for your support and time.
27,PROD,"Day 1, Session 4: AI for Creativity & Marketing",The openness of what AI tools he’s using and how he’s using them,"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",The authentic and human first conversations,Yes,Connection with likeminded individuals,More hands on demos and tutorials. Walk us through some of the programs with practice assignments,8,
28,PROD,"Day 2, Session 1: Lead with AI: Save Time with Workflows","I want to be able to use AI as an assistant, I really enjoyed all the topics.","Day 1, Session 4: AI for Creativity & Marketing",I volunteer with a non profit so I would love more insight in marketing,Yes,Learning about all the different apps that are being used and for what reason or purpose in each persons daily task.,"Maybe more hands on projects and step by step guides to show us how to create charts, presentations, or meeting summaries.",10 (Extremely likely),"Great 3 day workshop/conference, this was amazing and I can’t wait to tap into these apps and use them"
29,PROD,"Day 3, Session 1: AI in the Workplace: What’s Changing? Discussion",The panelists,"Day 1, Session 2: Try This: AI Tools for Everyday Tasks & Productivity",Using AI tools immediately,Yes,All the resources shared,Offer more of these for everyone,10 (Extremely likely),I’m so ready to volunteer
30,PROD,"Day 1, Session 4: AI for Creativity & Marketing",It was super informative! I was not expecting so much information regarding ai video and image content.,"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",Tangible information regarding safety is really important and this session highlighted that.,Yes,Leaving with an abundance of knowledge and resources to utilize AI in ways i never thought . This will save so much time.,,10 (Extremely likely),I truly appreciate the opportunity to attend such an amazing summit! Thank you so much!
31,PROD,"Day 1, Session 3: Apply It: AI in Action - Use Tools for Everyday Goals",It was one of the only sessions that had actionable tools and taught us in a step-by-step way how to use them,"Day 1, Session 4: AI for Creativity & Marketing","The speaker was good and provided a lot of helpful resources, as well as demoing his own work",Yes,Learning new tools and uses,"There was far too much unstructured time and “fluff” in this program. We were often left on our own to “work on a project,” which felt unrealistic given that we were expected to learn new tools and implement a solution by the end of day three.  After the first day, there was minimal hands‑on use of the technology. Most of the remaining time focused on abstract discussions about “being human” or other theoretical ideas rather than practical skill‑building. Additionally, the tracks were not well‑defined—participants who fell between the Developer and Productivity paths had no clear way to succeed in either.  Overall, the structure made it difficult to gain meaningful experience with the tools or achieve the intended outcomes.",2,"I think the experience would be greatly improved with more intentional structure and actionable content. Consider creating tracks that align with participant goals and backgrounds—such as entrepreneurs, educators, and tech/computer specialists—so attendees can dive into material that is actually relevant to how they plan to use the tools.  The sessions should focus more on action: walking us step‑by‑step through how to use each tool, set up programs correctly, and maximize their inner workings. Demonstrating these processes in detail would make the learning tangible and applicable.  Soft‑skill and “human” conversations are valuable but should be limited to one dedicated session, rather than spread throughout. Much of the time felt dominated by buzzwords and abstract, “impactful‑sounding” discussions without concrete takeaways. A shift toward hands‑on, practical instruction would make the program far more effective."
32,PROD,"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",Actual application of knowledge,"Day 1, Session 1: AI 101 Without the Tech Talk",,Yes,A bit across all parts.,"Logistics, planning,  administration of event",4,"Ok, firstly wow.  I ended up learning o much with practical application and use. WOW..just blown away by ""some"" of the sessions.  Secondly your survey is lackluster and poor. Lastly.. the overall experience was a 1 from 1-10. The logistics, administrative, planning of event were the worst ever experienced. From no coordination and timing on checkin and opening events.. to not having enough food. Folks paid $400 dollars and the received at beat $75 dollars in value. I say this from iver 30yrs odlf event and rest. experience"
33,DEV,"Day 1, Session 3: Integrating LLM with application using API, tools and MCP",Dansih was amazing ad his notebook was very well organised and well explained.,"Day 2, Session 4: N8n / cybersecurity framework / LLM guard","Real production experience, very challenging and insightful",Yes,Pizza and talking to speakers.,More pizza and ACC WiFi is not very reliable,10 (Extremely likely),Thank you :)
34,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",Ability to applyLearnings right away,"Day 2, Session 2: Agentic AI from Notebook to Production",,Yes,Networking,Productivity track day 1 felt a bit elementary and too academic,7,
35,DEV,"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",Interesting in cybersec,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",Fascinating lab,Yes,Technical training,Better time management,8,
36,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",Its what i find most useful.,"Day 2, Session 3: Building RAG system with local LLM",Next most relevant,Yes,Networking maybe?,Scheduling?,8,
37,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",Learning something totally new to me as I had at least some experience with other topics,"Day 3, Session 1: Building applications using coding agents",Same as above,Yes,Hands on Experience,Somehow have better access to outlets because my computers battery would run out near the end of each day,8,
38,DEV,"Day 2, Session 3: Building RAG system with local LLM",Great intro to Ollama and local AI,"Day 2, Session 2: Agentic AI from Notebook to Production",Great intro to langfuse and how to monitor agents and architecture,Yes,Coding snippets to introduce concepts,More coding projects,7,
39,DEV,"Day 1, Session1: Understanding LLMs",Good analogy for helping everyone understand LLM in a simple way,"Day 3, Session 1: Building applications using coding agents",Good intro to future of app development,Yes,The teachers,Prep work details in advance,10 (Extremely likely),Thank you!
40,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",Being able to automate parts of software development,"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",Understanding security concerns about llms,Yes,Being able to communicate with presenters questions I had,More upfront work for demos,10 (Extremely likely),
41,DEV,"Day 2, Session 2: Agentic AI from Notebook to Production",Exceptional Hands-On Practice,"Day 1, Session1: Understanding LLMs",Informative Icebreaker!,Yes,Hands-On Practices,Ensuring every participant is set up before 3-day event.,7,I’m just interested in potentially participating in another AAIA event!
42,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",I am very more hands on and knowing the why on what I’m using and why is this best for me to use.,"Day 1, Session 3: Integrating LLM with application using API, tools and MCP",It’s the opening of everything so it gave me more of an understanding of LLM and tools,Yes,Just learning about coding and Ai,Just to have a guideline for people based on their career path . For example I am into gaming engineering,10 (Extremely likely),
43,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",,"Day 2, Session 2: Agentic AI from Notebook to Production",Interactive,Yes,Learning a lot in short time,Great,8,No
44,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",I will improve my productivity at work,"Day 1, Session 3: Integrating LLM with application using API, tools and MCP",This will improve my current product,Yes,Hand on programming,More hand on exercises,10 (Extremely likely),
45,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",All of the sessions were great. It was nice to see a variety of expertise level from novice to advanced.,"Day 2, Session 3: Building RAG system with local LLM",I didn’t know this was possible.,Yes,Learning from professionals,"Agenda with session descriptions, include more lab sessions",8,
46,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",,"Day 1, Session 4: Introduction to RAG and basic implementation",,Yes,hands on,daily agenda,10 (Extremely likely),
47,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",Clearly most of the questions on implementing everything learned so far,"Day 2, Session 3: Building RAG system with local LLM",Answered questions on local llms,Yes,"RAG, local llms, claude code",Food :),10 (Extremely likely),
48,DEV,"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",Setting boundaries for AI,"Day 2, Session 3: Building RAG system with local LLM",RAG is the bomb.,Yes,Ollama,Outlets,10 (Extremely likely),Well done.
49,DEV,"Day 3, Session 1: Building applications using coding agents",Real world app development,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",Real world agent development,Yes,Networking,Materials for development promts to reference could save questions and speed up the process,10 (Extremely likely),Really enjoyed the program and as a recent addition to the Austin AI alliance looking forward to meeting and collaborating with members at future events
50,DEV,"Day 1, Session2: Mastering Prompt Engineering Techniques & tools for prompt building",I want to be able to prompt well to get the best results for my future work.,"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",I think it’s very important to be ethical and having discernment while using these tools.,Yes,Learning how to properly use an LLM and its limitations.,"More organization. Itineraries for all three days, breakfast and lunch provided, sticking to schedule. For developers, have them create their accounts and keys a week before the event with visual instructions.",6,
51,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",The information was clear and easy to follow and understand. And the instructor was great at answering questions.,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",Did not attend,Yes,Getting in depth information.,COMMUNICATION!!! Please send out more detailed emails as a follow up and for reminders? Thank you 😊,10 (Extremely likely),No
52,DEV,"Day 2, Session 3: Building RAG system with local LLM",I’m very interested in the AI development side of things. I would’ve selected all the hands on topics. I chose the topic because it used images and I have an image side project that I’m working on. Please put on more hands on workshops! :),"Day 2, Session 2: Agentic AI from Notebook to Production",It’s a practical session that we can build on later.,Yes,The hands on sessions and projects. Real projects that are expected in the industry.,Less of the fundamentals and more hands on experience.,10 (Extremely likely),Thank you so much. I look forward to the next one. Hopefully we can have another one in less than a year.
53,DEV,"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",It was super informative and interesting. I learned a lot in a short period if time and it made me want to explore the topic further,"Day 2, Session 3: Building RAG system with local LLM","Facilitator was great, enjoyed both sessions. I liked the hands on aspect and learning about implementing a local LLM was so cool.",Yes,The facilitators building on previous sessions and gaining hands on experience,Having all facilitators send any programs to be downloaded ahead of time and labeled to indicate which session and facilitator,10 (Extremely likely),
54,DEV,"Day 2, Session 3: Building RAG system with local LLM",Using LLM local was super practical and useful. A lot to learn.,"Day 3, Session 1: Building applications using coding agents",Using AI for developing applications is the most interesting part. The main part of the future.,Yes,Using AI to develop applications,Everything was perfect.,10 (Extremely likely),
