Session,Review_Rank,Motivation,Length
"Day 1, Session 1: AI 101 Without the Tech Talk",1,the stage was set very well in the opening session. I was inspire,65
"Day 1, Session 1: AI 101 Without the Tech Talk",2,Every conversation I had with everyone who had goals,52
"Day 1, Session 1: AI 101 Without the Tech Talk",3,Feel of ai landscape,20
"Day 1, Session 4: AI for Creativity & Marketing",1,I plan on using ai for branding and marketing projects so the session on creativity was just what I needed,106
"Day 1, Session 4: AI for Creativity & Marketing",2,It was super informative! I was not expecting so much information regarding ai video and image content.,103
"Day 1, Session 4: AI for Creativity & Marketing",3,"It was an engaging session, that allowed me to think outside of the box in a more creative fashion.",99
"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",1,It is important for me to be mindful of privacy and security concerns when it comes to ai usage,95
"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",2,Tangible information regarding safety is really important and this session highlighted that.,92
"Day 2, Session 4: Staying Safe with AI: Privacy, Trust & Limits",3,Concerns about privacy are my biggest obstacle,46
"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",1,Got to Apply our knowledge in a practical application,53
"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",2,Actual application of knowledge,31
"Day 3, Session 2&3: Showcase Studio: Build Your “AI in Action” project",3,Getting familuar with ai,24
"Day 1, Session 3: Apply It: AI in Action - Use Tools for Everyday Goals",1,It was one of the only sessions that had actionable tools and taught us in a step-by-step way how to use them,109
"Day 2, Session 1: Lead with AI: Save Time with Workflows",1,"I want to be able to use AI as an assistant, I really enjoyed all the topics.",77
"Day 2, Session 1: Lead with AI: Save Time with Workflows",2,I learned a lot about how I can leverage AI in my life,54
"Day 2, Session 1: Lead with AI: Save Time with Workflows",3,Everything actually,19
"Day 1, Session 3: Integrating LLM with application using API, tools and MCP",1,It’s the opening of everything so it gave me more of an understanding of LLM and tools,86
"Day 1, Session 3: Integrating LLM with application using API, tools and MCP",2,Dansih was amazing ad his notebook was very well organised and well explained.,78
"Day 1, Session 3: Integrating LLM with application using API, tools and MCP",3,This will improve my current product,36
"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",1,It was super informative and interesting. I learned a lot in a short period if time and it made me want to explore the topic further,132
"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",2,The information was clear and easy to follow and understand. And the instructor was great at answering questions.,113
"Day 3, Session 2&3: End-to-End LLM Application Development and coding agent",3,All of the sessions were great. It was nice to see a variety of expertise level from novice to advanced.,104
"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",1,I think it’s very important to be ethical and having discernment while using these tools.,89
"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",2,"Real production experience, very challenging and insightful",59
"Day 2, Session 4: N8n / cybersecurity framework / LLM guard",3,Understanding security concerns about llms,42
"Day 2, Session 3: Building RAG system with local LLM",1,I’m very interested in the AI development side of things. I would’ve selected all the hands on topics. I chose the topic because it used images and I have an image side project that I’m working on. Please put on more hands on workshops! :),239
"Day 2, Session 3: Building RAG system with local LLM",2,"Facilitator was great, enjoyed both sessions. I liked the hands on aspect and learning about implementing a local LLM was so cool.",130
"Day 2, Session 3: Building RAG system with local LLM",3,Using LLM local was super practical and useful. A lot to learn.,63
"Day 1, Session1: Understanding LLMs",1,Good analogy for helping everyone understand LLM in a simple way,64
"Day 2, Session 2: Agentic AI from Notebook to Production",1,Great intro to langfuse and how to monitor agents and architecture,66
"Day 2, Session 2: Agentic AI from Notebook to Production",2,It’s a practical session that we can build on later.,52
"Day 2, Session 2: Agentic AI from Notebook to Production",3,Exceptional Hands-On Practice,29
"Day 3, Session 1: Building applications using coding agents",1,Using AI for developing applications is the most interesting part. The main part of the future.,95
"Day 3, Session 1: Building applications using coding agents",2,Good intro to future of app development,39
"Day 3, Session 1: Building applications using coding agents",3,Real world app development,26
"Day 1, Session2: Mastering Prompt Engineering Techniques & tools for prompt building",1,I want to be able to prompt well to get the best results for my future work.,76
"Day 2, Session 4: Transforming Vision into Action Part 2: Framework Application",1,Love frameworks,15
"Day 1, Session 2: Try This: AI Tools for Everyday Tasks & Productivity",1,Using AI tools immediately,26
"Day 1, Session 2: Try This: AI Tools for Everyday Tasks & Productivity",2,Great suggestions!,18
"Day 2, Session 3: Tool Talk: Rate & Reflect",1,I loved the hands on exercise where we had to try several different LLMs. Not sure i would have taken the time to do that on my own.,132
"Day 1, Session 4: Introduction to RAG and basic implementation",1,No motivation provided,22
